id,group
Cyclidiidae,group_2
Chlamydomonadaceae,group_3
Cyathomonadaceae,group_3
Mytilidae,group_2
Achnanthaceae,group_1
Oithonidae,group_2
Gigartinaceae,group_1
Rhodomelaceae,group_1
Gromiidae,group_2
Protoperidiniaceae,group_1
Amphidomataceae,group_1
Zosteraceae,group_1
Rhodospirillaceae,group_1
Corallinaceae,group_1
Mopaliidae,group_2
Enchytraeidae,group_2
Halymeniaceae,group_1
Ectocarpaceae,group_1
Pythiaceae,group_1
Chroomonadaceae,group_3
Ulotrichaceae,group_1
Rhagidiidae,group_2
Nereididae,group_2
Monostromataceae,group_1
Saccocirridae,group_2
Primnoidae,group_2
Acanthocystidae,group_2
Orthodonellidae,group_2
Amphipleuraceae,group_1
Basidiobolaceae,group_1
Colepidae,group_2
Pterospermataceae,group_1
Hapalidiaceae,group_1
Phyllophoraceae,group_1
Thecamoebidae,group_2
Lobulomycetaceae,group_1
Peyssonneliaceae,group_1
Chilodochonidae,group_2
Ceramiaceae,group_1
Flabellulidae,group_2
Colpodellidae,group_2
Frontoniidae,group_2
Gonyaulacaceae,group_1
Pyramimonadaceae,group_3
Ebriidae,group_2
Trachelostylidae,group_2
Aglaopheniidae,group_2
Thraustochytriaceae,group_1
Haliphthoraceae,group_1
Chromulinaceae,group_1
Fragilariaceae,group_1
Syllidae,group_2
Miraciidae,group_2
Misophriidae,group_2
Sphingomonadaceae,group_3
Hartmannellidae,group_2
Plagiocampidae,group_2
Catenulaceae,group_1
Aspergillaceae,group_1
Symbiodiniaceae,group_1
Selenidiidae,group_2
Ulvellaceae,group_1
Actiniidae,group_2
Oceanospirillaceae,group_1
Oxytoxaceae,group_1
Rhodellaceae,group_1
Sabellariidae,group_2
Pleosporaceae,group_1
Phialellidae,group_2
Vacuolariaceae,group_1
Dinobryaceae,group_1
Cyphoderiidae,group_2
Campanulariidae,group_2
Loxocephalidae,group_2
Microbulbiferaceae,group_1
Katablepharidaceae,group_3
Euplotidae,group_2
Calanidae,group_2
Lagenidiaceae,group_1
Ectothiorhodospiraceae,group_1
Oxytrichidae,group_2
Folliculinidae,group_2
Eupodiscaceae,group_1
Cirratulidae,group_2
Harpacticidae,group_2
Amoebidiaceae,group_1
Pseudocohnilembidae,group_2
Hemiselmidaceae,group_3
Urechidae,group_2
Salpingoecidae,group_2
Erythrotrichiaceae,group_1
Pfiesteriaceae,group_1
Discocephalidae,group_2
Enterobacteriaceae,group_1
Crypthecodiniaceae,group_1
Olpidiopsidaceae,group_3
Amphisiellidae,group_2
Lecudinidae,group_2
Stephanopyxidaceae,group_3
Colaconemataceae,group_1
Gonostomatidae,group_2
Thigmophryidae,group_2
Erythrobacteraceae,group_1
Esquamulidae,group_2
Sellaphoraceae,group_1
Bangiaceae,group_1
Holostichidae,group_2
Vannellidae,group_2
Chaetonotidae,group_2
Rhodobacteraceae,group_1
Bicosoecidae,group_2
Dumontiaceae,group_1
Terebellidae,group_2
Stauroneidaceae,group_3
Goniomonadaceae,group_3
Palmariaceae,group_1
Chilodonellidae,group_2
Uronematidae,group_2
Cafeteriaceae,group_1
Cercomonadidae,group_2
Phytodiniaceae,group_1
Oltmannsiellopsidaceae,group_3
Labyrinthulaceae,group_1
Heterophryidae,group_2
Pyrenomonadaceae,group_3
Melosiraceae,group_1
Prorocentraceae,group_1
Oncholaimidae,group_2
Spathidiidae,group_2
Siluaniaceae,group_1
Chlorodendraceae,group_1
Bradyrhizobiaceae,group_1
Bacillariaceae,group_1
Chordariaceae,group_1
Paracalanidae,group_2
Acanthoecidae,group_2
Mortierellaceae,group_1
Chlamydodontidae,group_2
Leptophryidae,group_2
Apusomonadidae,group_2
Chthamalidae,group_2
Thalassiosiraceae,group_1
Caulobacteraceae,group_1
Ovulinatidae,group_2
Raphidomonadidae,group_2
Triceratiaceae,group_1
Peronosporaceae,group_1
Scytosiphonaceae,group_1
Chlorellaceae,group_1
Pseudomonadaceae,group_3
Aeromonadaceae,group_3
Rhogostomidae,group_2
Spionidae,group_2
Delesseriaceae,group_1
Cymatosiraceae,group_1
Aspidiscidae,group_2
Opheliidae,group_2
Pleurosigmataceae,group_1
Pseudoalteromonadaceae,group_3
Strombidiidae,group_2
Urostylidae,group_2
Allapsidae,group_2
Chaetopeltidaceae,group_3
Protaspidae,group_2
Idiomarinaceae,group_1
Brucellaceae,group_1
Alteromonadaceae,group_3
Paraphysomonadaceae,group_3
Skeletonemataceae,group_1
Biecheleriaceae,group_1
Hydruraceae,group_1
Competibacteraceae,group_1
Epalxellidae,group_2
Capitellidae,group_2
Thaumatomastigidae,group_2
Blepharismidae,group_2
Paulinellidae,group_2
Naviculaceae,group_1
Peridiniaceae,group_1
Hartmannulidae,group_2
Biddulphiaceae,group_1
Laminariaceae,group_1
Glomeraceae,group_1
Paraliaceae,group_1
Nitrosomonadaceae,group_3
Herpotrichiellaceae,group_1
Philasteridae,group_2
Coelogynoporidae,group_2
Gymnodiniaceae,group_1
Amphileptidae,group_2
Ancyromonadidae,group_2
Polykrikaceae,group_1
Litonotidae,group_2
Strombidinopsidae,group_2
Chaetocerotaceae,group_1
Dysteriidae,group_2
